crabworkarea_30nov2022/crab_eg_photonjet_2022Fv1
#Data tag : 22v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 362698:8489 | 11/26/22 14:10:13 | 382  | 382  | 0.084293029    | 0.081266292   |
| 362720:8491 | 11/26/22 22:58:15 | 900  | 900  | 0.369974146    | 0.352855136   |
| 362726:8491 | 11/27/22 05:09:36 | 2    | 2    | 0.000821332    | 0.000000244   |
| 362727:8491 | 11/27/22 05:15:01 | 7    | 7    | 0.002811783    | 0.001671390   |
| 362728:8491 | 11/27/22 05:21:34 | 393  | 393  | 0.150921205    | 0.143434048   |
| 362757:8496 | 11/27/22 22:14:23 | 64   | 64   | 0.021610842    | 0.019572239   |
| 362758:8496 | 11/27/22 22:43:06 | 213  | 213  | 0.089723733    | 0.084970636   |
| 362759:8496 | 11/28/22 00:10:05 | 7    | 7    | 0.002944004    | 0.002641406   |
| 362760:8496 | 11/28/22 00:16:05 | 729  | 729  | 0.293064201    | 0.279646423   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+------+------+-------------------+------------------+
| nfill | nrun | nls  | ncms | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+------+------+-------------------+------------------+
| 7     | 27   | 8386 | 8386 | 3.262407510       | 3.093775315      |
+-------+------+------+------+-------------------+------------------+
#Check JSON:
